里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0036K+400,台7線,121.35282400000,24.72501800000,285693.05499999999,2735366.58999999985,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+500,台7線,121.35201100000,24.72454100000,285610.94400000002,2735313.54600000009,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+600,台7線,121.35156000000,24.72375900000,285565.54100000003,2735226.81499999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+700,台7線,121.35096700000,24.72323800000,285505.69699999999,2735168.95599999977,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+800,台7線,121.35100300000,24.72238800000,285509.58100000001,2735074.81999999983,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+900,台7線,121.35072300000,24.72156600000,285481.48700000002,2734983.70399999991,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+000,台7線,121.35080500000,24.72081200000,285489.99699999997,2734900.21299999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+100,台7線,121.35029200000,24.72004100000,285438.31599999999,2734814.68500000006,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+200,台7線,121.34999600000,24.71918600000,285408.61200000002,2734719.90899999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+300,台7線,121.34945900000,24.71845500000,285354.48999999999,2734638.80599999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+400,台7線,121.34874300000,24.71786100000,285282.21999999997,2734572.83000000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+500,台7線,121.34777500000,24.71770100000,285184.33199999999,2734554.85999999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+600,台7線,121.34686400000,24.71736800000,285092.25900000002,2734517.74399999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+700,台7線,121.34740200000,24.71689600000,285146.82100000000,2734465.60300000012,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+800,台7線,121.34823900000,24.71649600000,285231.61400000000,2734421.51500000013,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0037K+900,台7線,121.34920300000,24.71659100000,285329.11700000003,2734432.28500000015,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+000,台7線,121.35017900000,24.71671400000,285427.82500000001,2734446.16000000015,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+100,台7線,121.35113900000,24.71690100000,285524.89700000000,2734467.12099999981,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+200,台7線,121.35188800000,24.71637300000,285600.82400000002,2734408.83399999980,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+300,台7線,121.35247000000,24.71573300000,285659.88900000002,2734338.10000000009,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+400,台7線,121.35281400000,24.71510600000,285694.87099999998,2734268.74399999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+500,台7線,121.35285700000,24.71439600000,285699.42400000000,2734190.11599999992,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+600,台7線,121.35307500000,24.71373700000,285721.66700000002,2734117.18300000019,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+700,台7線,121.35386800000,24.71427500000,285801.74400000001,2734176.97800000012,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+800,台7線,121.35456100000,24.71489000000,285871.68099999998,2734245.27600000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0038K+900,台7線,121.35551500000,24.71497500000,285968.17599999998,2734254.93999999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+000,台7線,121.35624700000,24.71457000000,286042.35100000002,2734210.27499999991,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+100,台7線,121.35704500000,24.71447400000,286123.11499999999,2734199.85300000012,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+200,台7線,121.35772800000,24.71404900000,286192.33899999998,2734152.95999999996,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+300,台7線,121.35866500000,24.71428700000,286287.07000000001,2734179.56900000013,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+400,台7線,121.35954500000,24.71415000000,286376.14299999998,2734164.62800000003,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+500,台7線,121.36042700000,24.71377500000,286465.48700000002,2734123.32800000021,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+600,台7線,121.36117400000,24.71341800000,286541.16800000001,2734083.98600000003,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+700,台7線,121.36122900000,24.71252700000,286546.99300000002,2733985.31399999978,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+800,台7線,121.36161800000,24.71177500000,286586.57000000001,2733902.12699999986,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0039K+900,台7線,121.36115700000,24.71098100000,286540.15899999999,2733814.06199999992,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+000,台7線,121.36078400000,24.71018000000,286502.65399999998,2733725.24399999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+100,台7線,121.36152500000,24.70962900000,286577.78700000001,2733664.41399999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+200,台7線,121.36218600000,24.70903700000,286644.83899999998,2733599.02100000018,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+300,台7線,121.36259600000,24.70833400000,286686.52700000000,2733521.26699999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+400,台7線,121.36177600000,24.70788300000,286603.69300000003,2733471.09599999990,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+500,台7線,121.36151400000,24.70713100000,286577.40399999998,2733387.73499999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+600,台7線,121.36194600000,24.70638500000,286621.33199999999,2733305.22399999993,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+700,台7線,121.36210000000,24.70551900000,286637.16700000002,2733209.34800000023,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+800,台7線,121.36262200000,24.70478400000,286690.19799999997,2733128.08000000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0040K+900,台7線,121.36341400000,24.70425900000,286770.48800000001,2733070.14399999985,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+000,台7線,121.36422700000,24.70376000000,286852.89500000002,2733015.09299999988,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+100,台7線,121.36399800000,24.70292400000,286829.96999999997,2732922.43699999992,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+200,台7線,121.36371100000,24.70224800000,286801.13000000000,2732847.48700000020,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+300,台7線,121.36295000000,24.70168700000,286724.29399999999,2732785.14800000004,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+400,台7線,121.36205100000,24.70131700000,286633.43800000002,2732743.92599999998,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+500,台7線,121.36110600000,24.70127400000,286537.83199999999,2732738.91200000001,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+600,台7線,121.36066700000,24.70046700000,286493.64700000000,2732649.41200000001,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+700,台7線,121.36036000000,24.69964000000,286462.82400000002,2732557.73300000001,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+800,台7線,121.36113900000,24.69910400000,286541.80400000000,2732498.57400000002,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0041K+900,台7線,121.36200900000,24.69878500000,286629.92900000000,2732463.47399999993,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+000,台7線,121.36294000000,24.69854600000,286724.20299999998,2732437.25100000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+100,台7線,121.36376000000,24.69898000000,286807.04800000001,2732485.54100000020,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+200,台7線,121.36466800000,24.69933100000,286898.82100000000,2732524.66099999985,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+300,台7線,121.36541500000,24.69888500000,286974.53899999999,2732475.46400000015,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+400,台7線,121.36591800000,24.69814700000,287025.65299999999,2732393.85999999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+500,台7線,121.36679900000,24.69783800000,287114.89000000001,2732359.87300000014,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+600,台7線,121.36776600000,24.69793600000,287212.70899999997,2732370.99000000022,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+700,台7線,121.36869200000,24.69815400000,287306.34299999999,2732395.38700000010,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+800,台7線,121.36956000000,24.69848900000,287394.07299999997,2732432.72699999996,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0042K+900,台7線,121.37048100000,24.69874400000,287487.18900000001,2732461.22200000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+000,台7線,121.37142100000,24.69896200000,287582.23900000000,2732485.62500000000,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+100,台7線,121.37239600000,24.69897600000,287680.89100000000,2732487.44299999997,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+200,台7線,121.37337400000,24.69889700000,287779.87400000001,2732478.96299999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+300,台7線,121.37434700000,24.69889200000,287878.33000000002,2732478.67700000014,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+400,台7線,121.37507700000,24.69842300000,287952.33799999999,2732426.93300000019,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+500,台7線,121.37563500000,24.69770700000,288009.01699999999,2732347.78399999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+600,台7線,121.37620200000,24.69710300000,288066.57400000002,2732281.04300000006,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+700,台7線,121.37549300000,24.69649500000,287995.01600000000,2732213.50499999989,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+800,台7線,121.37507300000,24.69573200000,287952.74800000002,2732128.87999999989,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0043K+900,台7線,121.37439700000,24.69508100000,287884.54200000002,2732056.58900000015,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+000,台7線,121.37399900000,24.69426100000,287844.51600000000,2731965.65700000012,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+100,台7線,121.37422300000,24.69349700000,287867.41300000000,2731881.09899999993,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+200,台7線,121.37398600000,24.69275900000,287843.65399999998,2731799.29300000006,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+300,台7線,121.37475700000,24.69222900000,287921.83299999998,2731740.80400000000,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+400,台7線,121.37547600000,24.69161300000,287994.77600000001,2731672.77600000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+500,台7線,121.37617600000,24.69101100000,288065.79300000001,2731606.29300000006,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+600,台7線,121.37709500000,24.69068500000,288158.88799999998,2731570.44100000011,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+700,台7線,121.37799700000,24.69034800000,288250.26699999999,2731533.36700000009,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+800,台7線,121.37872600000,24.68982100000,288324.19799999997,2731475.20000000019,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0044K+900,台7線,121.37824600000,24.68905500000,288275.85900000000,2731390.22500000009,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+000,台7線,121.37814400000,24.68820300000,288265.79700000002,2731295.83000000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+100,台7線,121.37868900000,24.68748800000,288321.16700000002,2731216.79000000004,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+200,台7線,121.37903200000,24.68667500000,288356.12599999999,2731126.83900000015,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+300,台7線,121.37936200000,24.68583800000,288389.77700000000,2731034.22599999979,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+400,台7線,121.37960300000,24.68502400000,288414.41499999998,2730944.13599999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+500,台7線,121.38034200000,24.68446900000,288489.37000000000,2730882.87199999997,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+600,台7線,121.38130500000,24.68432000000,288586.86900000001,2730866.63899999997,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+700,台7線,121.38103500000,24.68357500000,288559.77500000002,2730784.04799999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+800,台7線,121.38035800000,24.68296600000,288491.45100000000,2730716.40599999996,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0045K+900,台7線,121.37955300000,24.68254500000,288410.11499999999,2730669.55099999998,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+000,台7線,121.37945300000,24.68164800000,288400.26899999997,2730570.17199999979,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+100,台7線,121.37939300000,24.68074800000,288394.47300000000,2730470.47300000023,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+200,台7線,121.38006500000,24.68023900000,288462.63600000000,2730414.28500000015,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+300,台7線,121.38104900000,24.68017700000,288562.23700000002,2730407.69400000013,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+400,台7線,121.38198700000,24.67991400000,288657.24500000000,2730378.82800000021,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+500,台7線,121.38256900000,24.67924000000,288716.35200000001,2730304.34100000001,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+600,台7線,121.38313100000,24.67850100000,288773.45600000001,2730222.64900000021,一工處,復興工務段,2016/06/23,桃園市,復興區,三光村,
0046K+700,台7線,121.38400200000,24.67812800000,288861.71899999998,2730181.58300000010,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0046K+800,台7線,121.38492600000,24.67830200000,288955.17700000003,2730201.11700000009,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0046K+900,台7線,121.38586200000,24.67849700000,289049.84200000000,2730222.97999999998,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+000,台7線,121.38682400000,24.67867700000,289147.14199999999,2730243.19100000011,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+100,台7線,121.38779700000,24.67878300000,289245.57900000003,2730255.20899999980,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+200,台7線,121.38861300000,24.67835300000,289328.29499999998,2730207.81699999981,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+300,台7線,121.38936100000,24.67781100000,289404.16499999998,2730148.00000000000,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+400,台7線,121.39004000000,24.67759800000,289472.94900000002,2730124.60399999982,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+500,台7線,121.39029700000,24.67693900000,289499.16600000003,2730051.68800000008,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+600,台7線,121.39124600000,24.67701900000,289595.18300000002,2730060.82200000016,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+700,台7線,121.39164000000,24.67624500000,289635.30200000003,2729975.20800000010,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+800,台7線,121.39213100000,24.67548000000,289685.23599999998,2729890.62000000011,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0047K+900,台7線,121.39225100000,24.67459000000,289697.66200000001,2729792.07899999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+000,台7線,121.39296400000,24.67489500000,289769.72499999998,2729826.06699999981,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+100,台7線,121.39378800000,24.67529900000,289852.98999999999,2729871.05299999984,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+200,台7線,121.39475000000,24.67519800000,289950.38199999998,2729860.14600000018,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+300,台7線,121.39544100000,24.67461700000,290020.50000000000,2729795.99599999981,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+400,台7線,121.39601800000,24.67391200000,290079.12099999998,2729718.08000000007,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+500,台7線,121.39684100000,24.67371500000,290162.47700000001,2729696.50100000016,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+600,台7線,121.39778200000,24.67391700000,290257.64700000000,2729719.14999999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+700,台7線,121.39870500000,24.67362600000,290351.15399999998,2729687.18999999994,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+800,台7線,121.39965600000,24.67353800000,290447.42999999999,2729677.72300000023,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0048K+900,台7線,121.40044700000,24.67311600000,290527.62099999998,2729631.21600000001,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+000,台7線,121.40110100000,24.67364900000,290593.63799999998,2729690.44400000013,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+100,台7線,121.40204900000,24.67369900000,290689.56599999999,2729696.26299999980,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+200,台7線,121.40299100000,24.67383800000,290784.85700000002,2729711.93800000008,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+300,台7線,121.40391800000,24.67379200000,290878.69000000000,2729707.11899999995,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+300,台7線,121.40391800000,24.67379200000,290878.69000000000,2729707.11899999995,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+400,台7線,121.40444400000,24.67439600000,290931.72800000000,2729774.17400000012,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+500,台7線,121.40486800000,24.67519500000,290974.37800000003,2729862.79699999979,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+600,台7線,121.40572200000,24.67509000000,291060.84200000000,2729851.42199999979,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+700,台7線,121.40634100000,24.67440000000,291123.71500000003,2729775.18399999989,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+800,台7線,121.40653900000,24.67367800000,291143.98999999999,2729695.27499999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0049K+900,台7線,121.40634800000,24.67283900000,291124.93500000000,2729602.29199999990,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+000,台7線,121.40702000000,24.67221900000,291193.15000000002,2729533.82299999986,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+100,台7線,121.40766000000,24.67154300000,291258.14500000002,2729459.14199999999,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+200,台7線,121.40753300000,24.67066100000,291245.58199999999,2729361.41399999987,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+300,台7線,121.40748100000,24.66985100000,291240.58500000002,2729271.68399999989,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+400,台7線,121.40839300000,24.66957200000,291332.97999999998,2729241.05700000003,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+500,台7線,121.40791100000,24.66883900000,291284.43800000002,2729159.72599999979,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+600,台7線,121.40733000000,24.66820400000,291225.84399999998,2729089.21900000004,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+700,台7線,121.40706500000,24.66742700000,291199.27799999999,2729003.08000000007,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+800,台7線,121.40715900000,24.66656100000,291209.07600000000,2728907.19100000011,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0050K+900,台7線,121.40729800000,24.66568500000,291223.43300000002,2728810.20800000010,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+000,台7線,121.40725200000,24.66491700000,291219.02899999998,2728725.13200000022,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+100,台7線,121.40732600000,24.66415000000,291226.77100000001,2728640.20200000005,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+200,台7線,121.40676200000,24.66346900000,291169.90999999997,2728564.60600000015,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+300,台7線,121.40714400000,24.66265700000,291208.84000000003,2728474.78500000015,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+400,台7線,121.40707400000,24.66185500000,291202.01899999997,2728385.93600000022,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+500,台7線,121.40664800000,24.66104600000,291159.16600000003,2728296.20399999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+600,台7線,121.40685500000,24.66018700000,291180.40000000002,2728201.12399999984,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+700,台7線,121.40711000000,24.65932600000,291206.49300000002,2728105.83799999999,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+800,台7線,121.40647900000,24.65864900000,291142.84600000002,2728030.66500000004,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0051K+900,台7線,121.40610300000,24.65790700000,291105.03100000002,2727948.37000000011,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+000,台7線,121.40610200000,24.65704300000,291105.21299999999,2727852.67400000012,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+100,台7線,121.40613500000,24.65614800000,291108.84600000002,2727753.55500000017,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+200,台7線,121.40625300000,24.65528900000,291121.07199999999,2727658.44900000002,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+300,台7線,121.40616000000,24.65455400000,291111.89899999998,2727577.01299999980,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+400,台7線,121.40654600000,24.65387600000,291151.19300000003,2727502.03500000015,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+500,台7線,121.40742900000,24.65426400000,291240.44500000001,2727545.27400000021,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+600,台7線,121.40824900000,24.65413500000,291323.48999999999,2727531.23199999984,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+700,台7線,121.40893100000,24.65354500000,291392.71799999999,2727466.08999999985,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+800,台7線,121.40985700000,24.65324800000,291486.54800000001,2727433.47399999993,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0052K+900,台7線,121.40976500000,24.65240100000,291477.51600000000,2727339.63400000008,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+000,台7線,121.40955700000,24.65156000000,291456.73900000000,2727246.42299999995,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+100,台7線,121.40959600000,24.65068200000,291460.97700000001,2727149.18899999978,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+200,台7線,121.41024100000,24.65010900000,291526.45600000001,2727085.91900000023,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+300,台7線,121.41071900000,24.64943300000,291575.06599999999,2727011.19100000011,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+400,台7線,121.41143300000,24.64894200000,291647.50500000000,2726957.02499999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+500,台7線,121.41234300000,24.64863100000,291739.72399999999,2726922.85499999998,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+600,台7線,121.41319200000,24.64821600000,291825.80400000000,2726877.14900000021,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+700,台7線,121.41407700000,24.64791900000,291915.48900000000,2726844.52300000004,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+800,台7線,121.41478500000,24.64730900000,291987.36200000002,2726777.17700000014,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0053K+900,台7線,121.41512300000,24.64652100000,292021.84100000001,2726690.00199999986,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+000,台7線,121.41582700000,24.64600600000,292093.27899999998,2726633.17700000014,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+100,台7線,121.41656700000,24.64550100000,292168.35800000001,2726577.47099999990,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+200,台7線,121.41725300000,24.64497100000,292237.97899999999,2726518.97999999998,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+300,台7線,121.41802200000,24.64441500000,292316.01299999998,2726457.63499999978,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+400,台7線,121.41829100000,24.64357700000,292343.52600000001,2726364.90199999977,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+500,台7線,121.41831600000,24.64267700000,292346.35999999999,2726265.22699999996,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+600,台7線,121.41847600000,24.64185700000,292362.83399999997,2726174.45399999991,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+700,台7線,121.41903100000,24.64226000000,292418.88199999998,2726219.26099999994,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+800,台7線,121.41909000000,24.64312400000,292424.56300000002,2726314.97500000009,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0054K+900,台7線,121.41935700000,24.64398900000,292451.29900000000,2726410.86299999990,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0055K+000,台7線,121.41970100000,24.64483300000,292485.83700000000,2726504.45000000019,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0055K+100,台7線,121.41954300000,24.64570500000,292469.54800000001,2726600.98199999984,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0055K+200,台7線,121.41985400000,24.64654900000,292500.74400000001,2726694.55899999989,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0055K+300,台7線,121.42046200000,24.64716400000,292562.08299999998,2726762.86400000006,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
0055K+400,台7線,121.42071800000,24.64794000000,292587.73400000000,2726848.89199999999,一工處,復興工務段,2016/06/23,桃園市,復興區,華陵村,
